Journal,Abbreviation,Index Type,Subject,Impact Factor,JCR-zone,ISSN,Rank
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,SCIE,ONCOLOGY,685.2,Q1,0007-9235,1
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,SCIE,CELL BIOLOGY,118.0,Q1,1471-0072,2
LANCET,LANCET,SCIE,"MEDICINE, GENERAL & INTERNAL",109.0,Q1,0140-6736,3
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,SCIE,MICROBIOLOGY,104.6,Q1,1740-1526,4
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,SCIE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",96.9,Q1,1545-8636,5
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,SCIE,ONCOLOGY,94.6,Q1,1759-4774,6
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,SCIE,Multiple,91.2,Q1,1474-1776,7
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,SCIE,"MEDICINE, GENERAL & INTERNAL",84.5,Q1,0028-4793,8
Nature Reviews Materials,NAT REV MATER,SCIE,Multiple,83.3,Q1,2058-8437,9
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SCIE,Multiple,81.2,Q1,2095-9907,10
ANNALS OF ONCOLOGY,ANN ONCOL,SCIE,ONCOLOGY,80.4,Q1,0923-7534,11
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,SCIE,"MEDICINE, GENERAL & INTERNAL",79.8,Q1,2056-676X,12
World Psychiatry,WORLD PSYCHIATRY,"SCIE, SSCI",PSYCHIATRY,79.5,Q1,1723-8617,13
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SCIE,Multiple,74.1,Q1,N/A,14
Nature Energy,NAT ENERGY,SCIE,Multiple,70.1,Q1,2058-7546,15
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,SCIE,"MEDICINE, GENERAL & INTERNAL",65.4,Q1,0098-7484,16
Living Reviews in Relativity,LIVING REV RELATIV,SCIE,"PHYSICS, PARTICLES & FIELDS",64.6,Q1,2367-3613,17
CHEMICAL REVIEWS,CHEM REV,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",64.2,Q1,0009-2665,18
NATURE REVIEWS CANCER,NAT REV CANCER,SCIE,ONCOLOGY,60.7,Q1,1474-175X,19
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,SCIE,GASTROENTEROLOGY & HEPATOLOGY,57.5,Q1,1759-5045,20
NATURE,NATURE,SCIE,MULTIDISCIPLINARY SCIENCES,56.1,Q1,0028-0836,21
CANCER CELL,CANCER CELL,SCIE,Multiple,56.1,Q1,1535-6108,21
Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,SSCI,Multiple,55.9,Q1,2327-0608,23
BMJ-British Medical Journal,BMJ-BRIT MED J,SCIE,"MEDICINE, GENERAL & INTERNAL",55.1,Q1,0959-535X,24
LANCET NEUROLOGY,LANCET NEUROL,SCIE,CLINICAL NEUROLOGY,54.6,Q1,1474-4422,25
Nature Reviews Methods Primers,NAT REV METHOD PRIME,SCIE,MULTIDISCIPLINARY SCIENCES,54.2,Q1,N/A,26
eScience,ESCIENCE,SCIE,Multiple,52.9,Q1,2097-2431,27
NATURE MEDICINE,NAT MED,SCIE,Multiple,52.5,Q1,1078-8956,28
NATURE REVIEWS GENETICS,NAT REV GENET,SCIE,GENETICS & HEREDITY,51.4,Q1,1471-0056,29
